frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
0,can2,3,0.000000,0,0.900,6.000
0,can2,4,0.000000,0,0.900,6.000
0,can2,5,0.000000,0,0.900,6.000
0,can2,6,0.000000,0,0.900,6.000
0,can3,13,0.000000,0,0.900,6.000
0,can3,14,0.000000,0,0.900,6.000
0,can3,15,0.000000,0,0.900,6.000
0,can3,16,0.000000,0,0.900,6.000
1,can2,3,0.000000,6565,0.264,3.250
1,can2,4,0.000000,6565,0.264,3.250
1,can2,5,0.000000,6565,0.264,3.250
1,can2,6,0.000000,6565,0.264,3.250
1,can3,13,0.025619,6565,0.264,3.250
1,can3,14,-0.005813,6565,0.264,3.250
1,can3,15,-0.001854,6565,0.264,3.250
1,can3,16,0.012428,6565,0.264,3.250
2,can2,3,0.000000,19702,0.264,1.875
2,can2,4,0.000000,19702,0.264,1.875
2,can2,5,0.000000,19702,0.264,1.875
2,can2,6,0.000000,19702,0.264,1.875
2,can3,13,0.025619,19702,0.264,1.875
2,can3,14,-0.005813,19702,0.264,1.875
2,can3,15,-0.001854,19702,0.264,1.875
2,can3,16,0.012428,19702,0.264,1.875
