frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
0,can2,3,0.000000,0,0.900,6.000
0,can2,4,0.000000,0,0.900,6.000
0,can2,5,0.000000,0,0.900,6.000
0,can2,6,0.000000,0,0.900,6.000
0,can3,13,0.000000,0,0.900,6.000
0,can3,14,0.000000,0,0.900,6.000
0,can3,15,0.000000,0,0.900,6.000
0,can3,16,0.000000,0,0.900,6.000
1,can2,3,0.000000,20,0.936,4.080
1,can2,4,0.000000,20,0.936,4.080
1,can2,5,0.000000,20,0.936,4.080
1,can2,6,0.000000,20,0.936,4.080
1,can3,13,0.000080,20,0.936,4.080
1,can3,14,-0.000017,20,0.936,4.080
1,can3,15,0.000002,20,0.936,4.080
1,can3,16,0.000047,20,0.936,4.080
2,can2,3,0.000000,40,0.979,3.336
2,can2,4,0.000000,40,0.979,3.336
2,can2,5,0.000000,40,0.979,3.336
2,can2,6,0.000000,40,0.979,3.336
2,can3,13,0.000159,40,0.979,3.336
2,can3,14,-0.000034,40,0.979,3.336
2,can3,15,0.000005,40,0.979,3.336
2,can3,16,0.000094,40,0.979,3.336
3,can2,3,0.000000,60,1.031,3.223
3,can2,4,0.000000,60,1.031,3.223
3,can2,5,0.000000,60,1.031,3.223
3,can2,6,0.000000,60,1.031,3.223
3,can3,13,0.000239,60,1.031,3.223
3,can3,14,-0.000050,60,1.031,3.223
3,can3,15,0.000007,60,1.031,3.223
3,can3,16,0.000140,60,1.031,3.223
4,can2,3,0.000000,80,1.093,3.478
4,can2,4,0.000000,80,1.093,3.478
4,can2,5,0.000000,80,1.093,3.478
4,can2,6,0.000000,80,1.093,3.478
4,can3,13,0.000319,80,1.093,3.478
4,can3,14,-0.000067,80,1.093,3.478
4,can3,15,0.000009,80,1.093,3.478
4,can3,16,0.000187,80,1.093,3.478
5,can2,3,0.000000,100,1.168,3.978
5,can2,4,0.000000,100,1.168,3.978
5,can2,5,0.000000,100,1.168,3.978
5,can2,6,0.000000,100,1.168,3.978
5,can3,13,0.000398,100,1.168,3.978
5,can3,14,-0.000084,100,1.168,3.978
5,can3,15,0.000012,100,1.168,3.978
5,can3,16,0.000234,100,1.168,3.978
6,can2,3,0.000000,120,1.257,4.677
6,can2,4,0.000000,120,1.257,4.677
6,can2,5,0.000000,120,1.257,4.677
6,can2,6,0.000000,120,1.257,4.677
6,can3,13,0.000478,120,1.257,4.677
6,can3,14,-0.000101,120,1.257,4.677
6,can3,15,0.000014,120,1.257,4.677
6,can3,16,0.000281,120,1.257,4.677
7,can2,3,0.000000,140,1.365,5.338
7,can2,4,0.000000,140,1.365,5.338
7,can2,5,0.000000,140,1.365,5.338
7,can2,6,0.000000,140,1.365,5.338
7,can3,13,0.000558,140,1.365,5.338
7,can3,14,-0.000118,140,1.365,5.338
7,can3,15,0.000016,140,1.365,5.338
7,can3,16,0.000327,140,1.365,5.338
8,can2,3,0.000000,160,1.494,5.669
8,can2,4,0.000000,160,1.494,5.669
8,can2,5,0.000000,160,1.494,5.669
8,can2,6,0.000000,160,1.494,5.669
8,can3,13,0.000637,160,1.494,5.669
8,can3,14,-0.000134,160,1.494,5.669
8,can3,15,0.000019,160,1.494,5.669
8,can3,16,0.000374,160,1.494,5.669
9,can2,3,0.000000,180,1.600,5.835
9,can2,4,0.000000,180,1.600,5.835
9,can2,5,0.000000,180,1.600,5.835
9,can2,6,0.000000,180,1.600,5.835
9,can3,13,0.000717,180,1.600,5.835
9,can3,14,-0.000151,180,1.600,5.835
9,can3,15,0.000021,180,1.600,5.835
9,can3,16,0.000421,180,1.600,5.835
10,can2,3,0.000000,200,1.600,3.167
10,can2,4,0.000000,200,1.600,3.167
10,can2,5,0.000000,200,1.600,3.167
10,can2,6,0.000000,200,1.600,3.167
10,can3,13,0.000796,200,1.600,3.167
10,can3,14,-0.000168,200,1.600,3.167
10,can3,15,0.000024,200,1.600,3.167
10,can3,16,0.000468,200,1.600,3.167
11,can2,3,0.000000,220,1.600,1.834
11,can2,4,0.000000,220,1.600,1.834
11,can2,5,0.000000,220,1.600,1.834
11,can2,6,0.000000,220,1.600,1.834
11,can3,13,0.000876,220,1.600,1.834
11,can3,14,-0.000185,220,1.600,1.834
11,can3,15,0.000026,220,1.600,1.834
11,can3,16,0.000515,220,1.600,1.834
12,can2,3,0.000000,240,1.600,1.167
12,can2,4,0.000000,240,1.600,1.167
12,can2,5,0.000000,240,1.600,1.167
12,can2,6,0.000000,240,1.600,1.167
12,can3,13,0.000956,240,1.600,1.167
12,can3,14,-0.000202,240,1.600,1.167
12,can3,15,0.000028,240,1.600,1.167
12,can3,16,0.000561,240,1.600,1.167
13,can2,3,0.000000,259,1.600,0.833
13,can2,4,0.000000,259,1.600,0.833
13,can2,5,0.000000,259,1.600,0.833
13,can2,6,0.000000,259,1.600,0.833
13,can3,13,0.001035,259,1.600,0.833
13,can3,14,-0.000218,259,1.600,0.833
13,can3,15,0.000031,259,1.600,0.833
13,can3,16,0.000608,259,1.600,0.833
14,can2,3,0.000000,279,1.600,0.667
14,can2,4,0.000000,279,1.600,0.667
14,can2,5,0.000000,279,1.600,0.667
14,can2,6,0.000000,279,1.600,0.667
14,can3,13,0.001115,279,1.600,0.667
14,can3,14,-0.000235,279,1.600,0.667
14,can3,15,0.000033,279,1.600,0.667
14,can3,16,0.000655,279,1.600,0.667
15,can2,3,0.000000,299,1.600,0.583
15,can2,4,0.000000,299,1.600,0.583
15,can2,5,0.000000,299,1.600,0.583
15,can2,6,0.000000,299,1.600,0.583
15,can3,13,0.001195,299,1.600,0.583
15,can3,14,-0.000252,299,1.600,0.583
15,can3,15,0.000035,299,1.600,0.583
15,can3,16,0.000702,299,1.600,0.583
16,can2,3,0.000000,319,1.600,0.542
16,can2,4,0.000000,319,1.600,0.542
16,can2,5,0.000000,319,1.600,0.542
16,can2,6,0.000000,319,1.600,0.542
16,can3,13,0.001274,319,1.600,0.542
16,can3,14,-0.000269,319,1.600,0.542
16,can3,15,0.000038,319,1.600,0.542
16,can3,16,0.000748,319,1.600,0.542
17,can2,3,0.000000,339,1.600,0.521
17,can2,4,0.000000,339,1.600,0.521
17,can2,5,0.000000,339,1.600,0.521
17,can2,6,0.000000,339,1.600,0.521
17,can3,13,0.001354,339,1.600,0.521
17,can3,14,-0.000286,339,1.600,0.521
17,can3,15,0.000040,339,1.600,0.521
17,can3,16,0.000795,339,1.600,0.521
18,can2,3,0.000000,359,1.600,0.510
18,can2,4,0.000000,359,1.600,0.510
18,can2,5,0.000000,359,1.600,0.510
18,can2,6,0.000000,359,1.600,0.510
18,can3,13,0.001434,359,1.600,0.510
18,can3,14,-0.000302,359,1.600,0.510
18,can3,15,0.000042,359,1.600,0.510
18,can3,16,0.000842,359,1.600,0.510
19,can2,3,0.000000,379,1.600,0.505
19,can2,4,0.000000,379,1.600,0.505
19,can2,5,0.000000,379,1.600,0.505
19,can2,6,0.000000,379,1.600,0.505
19,can3,13,0.001513,379,1.600,0.505
19,can3,14,-0.000319,379,1.600,0.505
19,can3,15,0.000045,379,1.600,0.505
19,can3,16,0.000889,379,1.600,0.505
20,can2,3,0.000000,399,1.600,0.503
20,can2,4,0.000000,399,1.600,0.503
20,can2,5,0.000000,399,1.600,0.503
20,can2,6,0.000000,399,1.600,0.503
20,can3,13,0.001593,399,1.600,0.503
20,can3,14,-0.000336,399,1.600,0.503
20,can3,15,0.000047,399,1.600,0.503
20,can3,16,0.000936,399,1.600,0.503
21,can2,3,0.000000,419,1.600,0.501
21,can2,4,0.000000,419,1.600,0.501
21,can2,5,0.000000,419,1.600,0.501
21,can2,6,0.000000,419,1.600,0.501
21,can3,13,0.001673,419,1.600,0.501
21,can3,14,-0.000353,419,1.600,0.501
21,can3,15,0.000049,419,1.600,0.501
21,can3,16,0.000982,419,1.600,0.501
